Date,Title,Description
1905-07-01,Niagara Movement,"a meeting of blacks at Niagara Falls in 1905, including Du Bois, where they created a list of demands (ex. unrestricted right to vote, end to segregation, equality of economic opportunities, exc.)"
1906-02-26,Jungle is published,"Upton Sinclair was a muckraker who shocked the nation when he published The Jungle, a novel that revealed gruesome details about the meat packing industry in Chicago. The book was fiction but based on the things Sinclair had seen."
1906-06-30,Pure Food and Drug Act passed,
1906-06-30,Meat Inspection Act passed,"However in 1905, the BAI faced its first challenge with the publication of Upton Sinclair’s The Jungle. The ground breaking book exposed insanitary conditions in the Chicago Meat Packing industry, igniting public outrage, which eventually led to the establishment of continuous governmental inspection. President Theodore Roosevelt commissioned the Neill-Reynolds report, which confirmed many of Sinclair’s horrid tales. In response to both The Jungle and the Neill-Reynolds report,"
1907-10-11,Financial panic & recession,Was a six-week stretch of runs on banks in New York City and other American cities in October and early November of 1907. It was triggered by a failed speculation that caused the bankruptcy of two brokerage firms. But the shock that set in motion the events to create the Panic was the earthquake in San Francisco in 1906. The devastation of that city drew gold out of the world's major money centers. This created a liquidity crunch that created a recession starting in June.
1908-10-01,Henry Ford produces 1st automobiles,"The Model T made its debut in 1908 with a purchase price of $825.00. Over ten thousand were sold in its first year, establishing a new record. Four years later the price dropped to $575.00 and sales soared. By 1914, Ford could claim a 48% share of the automobile market."
1908-10-07,GA Disfranchisement Amendment,"After Reconstruction states in the South used various tactics to disenfranchise African American voters. In 1901, the Virginia General Assembly authorized a constitutional convention to draft election reforms including poll taxes and literacy tests as requirements for voting.The disfranchisement of African Americans throughout most of the South was completed with a 1906 amendment to the Georgia constitution."
1908-11-22,William Howard Taft becomes president,
1909-02-12,NAACP formed,"The NAACP was formed partly in response to the continuing horrific practice of lynching & the '08 race riot in Springfield, IL & resting place Pres Lincoln. Appalled at the violence that was committed against blacks, a grp of white liberals that included Mary White Ovington & Oswald Garrison Villard, both the descendants of abolitionists, William English Walling & Dr. Henry Moscowitz issued a call for a meeting to discuss racial justice. Some 60 people, 7 of whom were African American."
1909-04-09,Payne-Aldrich Tariff passed,"Lowered the overall tariff rate by only five percent and raised rates on crucial resources like coal and iron ore.  In seeming contradiction of his pledge to oversee meaningful reform,"
1910-08-31,"TR gives ""New Nationalism"" speech","The central issue he argued was government protection of human welfare and property rights, but he also argued that human welfare was more important than property rights. He insisted that only a powerful federal government could regulate the economy and guarantee social justice, and that a President can only succeed in making his economic agenda successful if he makes the protection of human welfare his highest priority."
1911-03-25,Triangle Shirtwaist Fire,"Fire started on the 8th floor. Work had ended at 4:30 that day & most of the workers were gathering their belongings  & their paychecks when a cutter noticed a small fire had started in his scrap bin. No one is sure what exactly started the fire, but a fire marshal thought a cigarette butt had possibly gotten tossed into the bin. Nearly everything in the room was flammable: hundreds of lbs. of cotton scraps, tissue paper patterns, and wooden tables - Of the 500 employees, 146 were dead."
1911-10-27,Taft Administration files antitrust suit against U.S. Steel,"In papers filed for the suit, Taft alleges that Roosevelt in 1907 had mistakenly let U.S. Steel purchase the Tennessee Coal and Iron Company. This action damages the Taft-TR relationship irreparably."
1912-07-24,TR forms Bull Moose Party,"In 1912, Roosevelt was unhappy with Taft's time in office and put his name forward to become the Republican Party's nominee again. The Party chose to stick with Taft. This angered Roosevelt who walked out of the convention and then formed his own party, the Progressive Party in protest. Hiram Johnson was chosen as his running mate."
1912-11-05,Woodrow Wilson elected President,
1913-02-03,16th Amendment,"was ratified in 1913, allowing the federal government to “lay and collect taxes on incomes.”"
1913-04-08,17th Amendment ratified,Established direct election of United States Senators by popular vote.
1913-12-23,Federal Reserve Act,Two major pieces of anti-trust legislation were enacted under President Wilson. The Federal Trade Commission Act prohibited unfair interstate commerce competition and created a commission to investigate illegal business practices. The Clayton Antitrust Act prohibited some monopolistic business practices and protected unions and farmers’ organizations from prosecution under the Sherman Anti-Trust Act.
1914-06-28,Archduke Franz Ferdinand is assassinated; starting WWI,
1914-08-15,Panama Canal opens,"President TRoosevelt gave tacit approval to a Panamanian independence movement, which was engineered in large part by Philippe-Jean Bunau-Varilla and his canal company.  the United States recognized the Republic of Panama, and on November 18 the Hay-Bunau-Varilla Treaty was signed with Panama, granting the U.S. exclusive and permanent possession of the Panama Canal Zone. In exchange, Panama received $10 million and an annuity of $250,000 beginning 9 years later."
1914-09-26,Federal Trade Commission Act passed,"bans ""unfair methods of competition"" & ""unfair or deceptive acts/practices."" The S Ct has said that all violations of the Sherman Act also violate the FTC Act. Thus, although the FTC does not technically enforce the Sherman Act, it can bring cases under the FTC Act against the same kinds of activities that violate the Sherman Act. The FTC Act also reaches other practices that harm competition, but that may not fit neatly into categories of conduct formally prohibited by the Sherman Act."
1914-10-15,Clayton Anti-Trust Act passed,
1915-02-08,Birth of a Nation premiered,
1915-05-07,Sinking of the Lusitania,"On May 1, 1915, the Lusitania left port in NY for Liverpool to make her 202nd trip across the Atlantic. On board were 1,959 people, 159 of whom were Americans. Since the outbreak of World War I, ocean voyage had become dangerous. Each side hoped to blockade the other, thus prevent any war materials getting through. German U-boats (submarines) stalked British waters, continually looking for enemy vessels to sink.Enraged Americans and hastened the USs' entrance into WW I."
1916-01-28,US troops pursue Pancho Villa,"American forces are recalled from Mexico after nearly 11 months of fruitless searching for Mexican revolutionary Pancho Villa, who was accused of leading a bloody raid against Columbus, New Mexico."
1916-03-24,Sussex attacked,"French cross-channel passenger ferry, the Sussex, was torpedoed the ship was severely damaged and about 50 lives were lost. Although no US citizens were killed in this attack, it prompted Pres Wilson to declare that if Germany were to continue this practice, the US would break diplomatic relations with Germany. Fearing the entry of the US into WWI, Germany attempted to appease the US by issuing, on May 4, 1916, the Sussex pledge, which promised a change in Germany’s naval warfare policy."
1916-05-01,Marcus Garvey creates UNIA,"He settled in New York City and formed a  Universal Negro Improvement Association chapter in Harlem to promote a separatist philosophy of social, political, and economic freedom for blacks. In 1918, Garvey began publishing the widely distributed newspaper Negro World to convey his message."
1916-11-07,Wilson relected president,
1917-01-01,Harlem Renaissanec begins,"The New York City neighborhood of Harlem became a major cultural center for African Americans. Black artists, musicians, and writers based in Harlem created a social and artistic community, producing major works and challenging barriers created by Jim Crow. Prominent figures included Duke Ellington, Arna Bontemps, Langston Hughes, and Zora Neale Hurston."
1917-03-01,Zimmerman Telegram released,"Wilson released a decoded telegram sent by German foreign minister Arthur Zimmermann to the German embassy in Mexico in January. Zimmermann had proposed that, if the US entered the war against Germany, Mexico go to war with the US as a German ally. Zimmermann promised that if Mexico allied with Germany, Germany would provide “financial support and an understanding on our part that Mexico is to reconquer lost territory in Texas, New Mexico, and Arizona.”"
1917-03-02,Puerto Rico granted U.S. citizenship,"At the time, many Puerto Ricans believed the act’s true purpose was to conscript them into the armed forces. (About 20,000 Puerto Ricans served in the U.S. Army during the World War I.) Congress, however, weighed the legislation long before the United States entered the war. Moreover, all male U.S. residents, including Puerto Ricans, were eligible for the draft whether or not they were citizens."
1917-04-06,US enters WWI,
1917-06-15,Espionage Act passed,
1917-07-02,"Race conflicts in E St. Louis, IL & Houston","in E St. Louis, IL & Hoston"
1917-10-24,Bolshevik Revolution,
1918-01-08,Wilson annonunces 14 points,
1918-05-16,Sedition Act passed,
1918-11-11,Armistice ends WWI,
1919-01-29,18th Amendment ratified,"Volstead Act: Prohibiting the manufacture, transportation and sale of intoxicating liquors"
1919-06-28,Treaty of Versailles signed,
1919-07-27,Race riots break out in Chicago,
1920-04-06,Palmer Raids,
1920-04-10,Motion Picture Association founded,
1920-04-15,Sacco and Vanzetti case,
1920-06-04,19th Amendment ratified,Guaranteeing women the right to vote.
1920-11-02,Warren Harding elected President,
1920-11-02,1st comemercial radio station begins broadcasting,"station KDKA made the nation's first commercial broadcast. They chose that date because it was election day, and the power of radio was proven when people could hear the results of the Harding-Cox presidential race before they read about it in the newspaper."
1921-11-10,Margaret Sanger founded American Birth Control League,
1922-02-06,Washington Naval Conference,Aggreement to limit navy was signed on this date
1922-04-10,Sinclair Lewis publishes Babbitt,
1922-04-21,Fordney-McCumber Tariff passed,
1923-03-03,Time Magazine founded,
1923-04-10,Sec of Interior Albert B Fall resigns,Due to his involvement in the Teapot Dome Scandal
1924-05-26,National Origins Act passed,
1924-05-26,Immigration Act passed,
1924-08-01,Dawes Plan,
1924-08-26,"Harding dies, Coolidge becomes president",
1924-11-04,Calvin Coolidge elected president,
1924-12-31,KKK reaches peak membership,
1925-04-17,F.Scott Fitzgerald publishes the Great Gatsby,
1925-07-10,Scopes Trial begins,
1926-05-21,McNary-Haugen bill re-introduced,
1927-05-20,Charles Lindbergh makes solo transatlantic flight,
1927-10-06,Jazz Singer Released,
1928-06-17,Amelia Earhart becomes 1st woman to fly solo,across the Atlantic Ocean
1928-08-27,Kellogg-Briand Pact signed,
1928-11-06,Herbert Hoover elected president,
1929-04-10,Hemingway publishes A Farewell to Arms,
1929-10-29,Stock market crashed,
1930-06-17,Hawley-Smoot Tariff enacted,
1930-10-25,Atlanta organizes Black Shirts,
1931-01-01,Dust Bowl,
1931-03-25,Scottsboro defendants arrested,
1931-08-01,Elijah Poole founded Nation of Islam,
1932-01-22,Reconstruction Finance Corporation established,
1932-05-01,Bonus Marchers came to Washington D.C.,
1932-11-08,FDR elected president,
1933-01-30,Hitler becomes Chancellor of Germany,
1933-03-04,FDR proclaims Good Neighbor Policy,
1933-06-01,First New Deal Legislation enacted,
1933-09-01,Dr. Francis Townsend campaign,for old-age pensions
1933-12-05,21st Amendment ratified,Repealed Prohibition
1934-02-23,Huey Long establishes Share-Our-Wealth Society,
1935-04-01,Father Coughlin establishes NUSJ,National Union for Social Justice
1935-04-14,Black Sunday,"The Dust Bowl got its name after Black Sunday. More and more dust storms had been blowing up in the years leading up to that day. In 1932, 14 dust storms were recorded on the Plains. In 1933, there were 38 storms."
1935-05-01,Supreme Court invalidates NRA,
1935-08-14,Second New Deal Legislation enacted,
1935-08-31,Neutrality act passed,
1935-10-03,Italy invades Ethopia,
1936-01-06,Supreme Court invalidates AAA,
1936-02-29,2nd Neutrality act passed,
1936-03-07,Germany reoccupies Rhineland,
1936-07-17,Spanish Civil War starts,
1936-11-03,FDR reelected,
1937-01-01,New Deal spending reduced,causes a recession
1937-02-05,FDR proposes court packing plan,
1937-05-01,3rd Neutrality act passed,
1937-12-01,HUAC created,The Un-American Activities Committee (HUAC) was originally established in 1937 under the chairmanship of Martin Dies. The main objective of the HUAC was the investigation of un-American and subversive activities.
1937-12-12,Japan attacks Panay,
1938-09-29,Munich Conference,
1939-04-14,John Steinbeck publishes Grapes of Wrath,
1939-09-01,World War II begins,Germany invades Poland
1940-04-13,Fight for Freedom Committee founded,
1940-05-01,Richard Wright publishes Native Son,
1940-09-04,America 1st Committee founded,
1940-09-27,Tripartite Pact signed,
1940-11-13,FDR reelected president again,
1941-01-10,Lend-lease plan,
1941-08-14,Atlantic Charter signed,
1941-08-14,Atlantic Charter drafted,"Churchill and FDR met to discuss their respective war aims for the Second World War and to outline a postwar international system. The Charter they drafted included eight ""common principles"" that the United States and Great Britain would be committed to supporting in the postwar world."
1941-12-07,Japan bombs Pearl Harbor,"Japanese planes attacked the United States Naval Base at Pearl Harbor, Hawaii Territory, killing more than 2,300 Americans. The U.S.S. Arizona was completely destroyed and the U.S.S. Oklahoma capsized. A total of twelve ships sank or were beached in the attack and nine additional vessels were damaged. More than 160 aircraft were destroyed and more than 150 others damaged."
1942-01-19,Manhattan Project begins,
1942-02-19,Executive Order 9066 is signed,"which called for the exclusion and internment of all Japanese Americans from the West Coast--where the majority of Japanese Americans lived, outside of Hawaii."
1942-03-01,C.O.R.E. founded,
1942-06-07,Battle of Midway,"considered the decisive battle of the war in the Pacific. Before this battle the Japanese were on the offensive, capturing territory throughout Asia and the Pacific. By their attack, the Japanese had planned to capture Midway to use as an advance base, as well as to entrap and destroy the U.S. Pacific Fleet. After Midway, the Americans and their Allies took the offensive in the Pacific."
1942-08-01,News of Holocaust reaches US,
1942-08-19,Battle of Stalingrad,"The defeat of the German Sixth Army at Stalingrad not only dealt a crippling blow to Hitler's campaign in the East but also marked the strategic turning point of the Second World War, and has come to be recognized as one of the greatest military debacles of all time. Over the years, the terrible fighting at Stalingrad has also come to symbolize the senseless sacrifice of human life to individual pride and political whim."
1943-06-03,Zoot Suit riots in LA,
1944-06-06,Battle of Normandy,"The Allied forces, based in Britain, decided to begin the invasion by landing a huge army at a place called Normandy Beach, which is located on the northwest coast of France. Code-named ""Operation Overlord"", and commanded by American General Dwight D. Eisenhower, the Allies landed at five beaches in the Normandy area with the code names of: Utah Beach, Omaha Beach, Gold Beach, Juno Beach and Sword Beach."
1944-06-22,Servicemen's Readjustment Act,"Spurred by public remembered a post-World War I recession, when millions of veterans returned to face unemployment and homelessness. It offered veterans up to $500 a year for college tuition and other educational costs—ample funding at the time. An unmarried veteran also received a $50-a-month allowance for each month spent in uniform; a married veteran received slightly more. Other benefits included mortgage subsidies, enabling veterans to purchase homes with relative ease."
1944-11-07,FDR reelected to a 4th term,
1945-02-11,Yalta Conference,"FDR & Churchill discussed with Stalin the conditions under which the USSR would enter the war against Japan & all 3 agreed that, in exchange for potentially crucial Soviet participation in the Pacific, the Soviets would be granted a sphere of influence in Manchuria following Japan's surrender. The Allied leaders also discussed the future of Germany, Eastern Europe and the United Nations."
1945-04-12,FDR dies; Truman becomes president,
1945-07-16,A-Bomb tested in NM,
1945-08-02,Potsdam Conference,The Big 3 met  to negotiate terms for the end of World War II. The major issue  was the question of how to handle Germany. The negotiators confirmed the status of a demilitarized and disarmed Germany under four zones of Allied occupation. One of the most controversial matters addressed at the Potsdam Conference dealt with the revision of the German-Soviet-Polish borders and the expulsion of several million Germans from the disputed territories.
1945-08-06,Bombing of Hiroshima,"Hiroshima became the target of the first weapon at 08.15 on 6 August 1945. The all-clear had in fact sounded from an initial alert when the bomb was dropped. It was carried by a B-29 Superfortress called Enola Gay. The Japanese government attempted to play down the impact and significance of this ominous development, which was followed a few days later by a second atomic bombing."
1945-08-09,Bombing of Nagasaki,he bombing of Nagasaki on August 9th was the last major act of World War Two and within days the Japanese had surrendered.Two senior American military figures - General Groves and Admiral Purnell - were convinced that two atomic bombs dropped within days of the other would have such an overwhelming impact on the Japanese government that it would surrender.
1945-09-02,Germany Surrenders,"Russian troops fought to within yards of his subterranean bunker, Adolph Hitler put a pistol to his head, pulled the trigger and closed the curtain on the Third Reich. Before his death, Hitler anointed Admiral Karl Donitz as his successor with orders to continue the fighting. Hitler was unaware that the German surrender had already begun."
1945-10-24,UN formed,"In 1945, representatives of 50 countries met in SF @ the UN Conference on Int'l Org to draw up the UN Charter. Those delegates deliberated on the basis of proposals worked out by the reps of China, the Soviet Union, the United Kingdom and the US at Dumbarton Oaks, US in Aug-Oct '44. The Charter was signed on 26 Jun '45 by the reps of the 50 countries. Poland, which was not represented at the conference."
1946-02-14,"ENIAC, World's 1st Automatic Digital Computer, Introduced","Was designed to calculate artillery firing tables for the United States Army's Ballistic Research Laboratory. heralded in the press as a ""Giant Brain"".[6] It had a speed of one thousand times that of electro-mechanical machines. This mathematical power, coupled with general-purpose programmability, excited scientists and industrialists. The inventors promoted the spread of these new ideas by conducting a series of lectures on computer architecture."
1947-01-21,Keenan starts containment,"Containment was a foreign policy strategy followed by the United States during the Cold War. First laid out by George F. Kennan, Containment stated that communism needed to be contained and isolated, or it would spread to neighboring countries. This spread would allow the Domino Theory to take hold, meaning that if one country fell to communism, then each surrounding country would fall as well, like a row of dominoes."
1947-03-12,Truman Doctrine announced,"In a speech to Congress, Pres Truman asks for US assistance for Greece & Turkey to forestall communist domination of the 2 nations. Historians have often cited Truman's address, which came to be known as the Truman Doctrine, as the official declaration of the Cold War."
1947-04-15,Jackie Robinson Signs with Brooklyn Dodgers,The Brooklyn Dodgers announce the purchase of the contract of Jack Roosevelt Robinson from Montreal. Jackie makes his big-league debut against the Boston Braves making him the 1st African American to play in the major leagues.
1947-06-05,Marshall Plan,"Officially known as the European Recovery Program (ERP), the Marshall Plan was intended to rebuild the economies and spirits of western Europe, primarily.  Marshall was convinced the key to restoration of political stability lay in the revitalization of national economies.  Further he saw political stability in Western Europe as a key to blunting the advances of communism in that region."
1947-06-23,Taft-Hartly Act,"It allows the president to appoint a board of inquiry to investigate union disputes when he believes a strike would endanger national health or safety, and obtain an 80-day injunction to stop the continuation of a strike. It declares all closed shops illegal. It permits union shops only after a majority of the employees vote for them. It forbids jurisdictional strikes and secondary boycotts. It ends the check-off system whereby the employer collects union dues. No political campaigns for unions"
1947-07-26,National Security Act passed,"It streamlined & unified the nation's military establishment by bringing together the Navy Dept & War Dept under a new Dept of Defense. This dept would facilitate control and utilization of the nation's growing military. The act established the National Security Council (NSC). Based in the White House, the NSC was supposed to serve as a coordinating agency, sifting through the increasing flow of diplomatic and intelligence information in order to provide the"
1947-09-01,HUAC begins investigating Hollywood,"HUAC began an investigation into the Hollywood Motion Picture Industry. In September 1947, the HUAC interviewed 41 people who were working in Hollywood. These people attended voluntarily and became known as ""friendly witnesses"". During their interviews they named several people who they accused of holding left-wing views. Those identified as communists or socialists were now ordered to testify before the HUAC. If these people refused to name names, they were added to a blacklist that had been"
1948-05-14,Israel becomes a nation,"Jewish leaders assembled at the Tel Aviv Museum to sign the Israeli Declaration of Independence and announce the creation of the first modern Jewish state. The next day, Egypt, Syria, Lebanon and Jordan attacked the fledgling country"
1948-07-26,Executive order 9981 issued,Desegregation of the Armed Forces
1949-01-05,"Truman's ""Fair Deal""","His Fair Deal recommended that all Americans have health insurance, that the minimum wage be increased, and that, by law, all Americans be guaranteed equal rights."
1949-04-04,NATO established,"The North Atlantic Treaty Organization (NATO) is established by 12 Western nations: the United States, Great Britain, France, Belgium, the Netherlands, Denmark, Italy, Luxembourg, Norway, Iceland, Canada, and Portugal. The military alliance, which provided for a collective self-defense against Soviet aggression, greatly increased American influence in Europe."
1949-04-10,Chinese Communist Revolution,"Nationalists, led by Chaing Kai-Shek, were defeated at Nanjing and forced to flee to Taiwan. Communist rule was established in the People's Republic of China under the leadership of Mao Zedong."
1949-06-08,George Orwell's 1984 Published,
1949-08-29,USSR has the atomic bomb,"According to legend, the Soviet physicists who worked on the bomb were honored for the achievement based on the penalties they would have suffered had the test failed. Those who would have been executed by the Soviet government if the bomb had failed to detonate were honored as ""Heroes of Socialist Labor,"" and those who would have been merely imprisoned were given ""The Order of Lenin,"" a slightly less prestigious award."
1950-01-21,Alger Hiss convicted,"Harvard-trained lawyer with an impeccable pedigree. Whittaker Chambers was a short, stocky, and rumpled Columbia drop-out and confessed former Communist from a poor and troubled Philadelphia family. Time and time again the two men would tell congressional committees, trial juries, and a reading public flatly contradictory stories about Hiss's allegiances during the period from 1933 to 1938. Hiss, according to Chambers, was a dedicated Communist engaged in espionage"
1950-02-01,McCarthyism starts,Senator Joseph McCarthy publicly charges that Communists are in the U.S. State Department
1950-04-07,NSC-68 created,"NSC Paper NSC-68 was a Top-Secret report completed by the U.S. Dept of State's Policy Planning Staff. Its authors argued that one of the most pressing threats confronting the US was the ""hostile design"" of the USSR. The authors concluded that the Soviet threat would soon be greatly augmented by the addition of more weapons, including nuclear weapons, to the Soviet arsenal. They argued that the best course of action was to respond in kind with a mass US military build-up"
1950-06-25,Korean War Begins,The Korean War begins when communist North Korea invades non-communist South Korea
1951-05-31,First credit card invented,by Ralph Schneider a diners credit card.
1951-05-31,Super glue invented,
1952-05-31,Mr. Potato Head invented,
1952-11-01,Hydrogen bomb invented,Its chief architect was Dr. Edward Teller. It was detonated in Enewetak in the Marshall Islands.
1952-11-05,Dwight D. Eisenhower elected President,"34th president, served two terms as president"
1953-01-19,Lucy Goes to Hospital,1st woman have pregnancy shown on TV
1953-03-05,Joseph Stalin dies,"The second leader of the Soviet Union, serving as the General Secretary of the Communist Party of the Soviet Union from 1922 until his death.  He created a series of Five Year Plans, created a period of rapid industrialization and economic collectivization.  He launched the Great Purge a campaign to rid the Communist Party of people accused of sabotage, terrorism and treachery."
1953-07-27,Korean War ends,Formally ended the war in Korea. North and South Korea remain separate and occupy almost the same territory they had when the war began.
1953-10-29,Rosenbergs executed,Julius and Ethel Rosenberg were executed for treason
1953-12-01,Playboy Magazine Debuts,
1954-05-08,Vietminh defeat French,Ho Chi Minh forces win their war for independence at the decisive battle of Dien Bien Phu.
1954-05-17,Brown v. Board of Education ruling,Supreme Court ended segregation of public education
1954-05-31,The pill invented,
1955-01-19,Khruschev is dominat leader in USSR,"In the years following Stalin‟s death in 1953, Nikita Khrushchev emerged as the dominant figure in the collective leadership of the USSR and, by early 1955, had consolidated his position to become the most prominent member of said leadership and de facto leader of the Soviet Union"
1955-04-12,Salk's polio vaccine becomes widely available,
1955-04-19,AFL-CIO is formed,"It was formed in 1955 when the AFL and the CIO merged after a long estrangement. From 1955-2005, the AFL–CIO's member unions represented nearly all unionized workers in the US. Several large unions split away from AFL–CIO and formed the rival Change to Win Federation in 2005. The largest union currently in the AFL–CIO is the American Federation of State, County and Municipal Employees (AFSCME), with more than a million members."
1955-07-17,"Disneyland Opens in Anaheim, CA",
1955-08-28,Murder of Emmett Till,"While visiting family in Money, MS, 14-yr-old Emmett Till, an African American from Chicago, is brutally murdered for flirting with a white woman 4 days earlier. His assailants--the white woman's husband & her brother- beat and killed Emmett. The Emmett Till murder trial brought  to light the brutality of Jim Crow segregation in the South and was an early impetus of the African American civil rights movement."
1955-12-01,Rosa Parks,Refuses to give up seat and starts the Montgomery bus boycott in AL
1956-04-27,Federal Highway Act Passes,"The 1956 act called for uniform interstate design standards to accommodate traffic forecast for 1975. Two lane segments, as well as at-grade intersections, were permitted on lightly traveled segments."
1956-09-09,Elvis 1st appears on Ed Sullivan,"Over 60 million people, both young and old, watched the show and many people believe it helped bridge the generation gap for Elvis' acceptance into the mainstream."
1956-10-23,Hungarian revolt,"The protestors boycotted work and demanded and independent country, but the Soviets put down the revolt."
1956-10-29,Suez Canal Crisis,"Britain, France, and Egypt all fought for control of the canal.  Britain and France recieved control."
1956-11-06,Ike reelected,
1957-05-18,Galbraith's The Affluent Society published,"Galbraith outlined his view that to become successful, post-World War II America should make large investments in items such as highways and education using funds from general taxation.  The Affluent Society contributed to the ""war on poverty""."
1957-05-30,40 million TVs in US,"Top TV shows1.I Love Lucy2.The Ed Sullivan Show3.General Electric Theatre4.The $64,000 Question5.December Bride6.Alfred Hitchcock Presents7.I've Got A Secret8.Gunsmoke9.The Perry Como Show10.The Jack Benny Show"
1957-09-23,Little Rock Nine,"Ike sends troops to Little Rock, AR H.S. to ensure integration"
1957-09-26,"""West Side Story"" Opens on Broadway",
1957-10-04,USSR launches Sputnik,"The world's first artificial satellite was about the size of a beach ball (22.8 inches in diameter), weighed only 183.9 pounds, and took about 98 minutes to orbit the Earth on its elliptical path. That launch ushered in new political, military, technological, and scientific developments. While the Sputnik launch was a single event, it marked the start of the space age and the U.S.-U.S.S.R space race."
1958-05-31,The hula hoop was invented,"by Richard Knerr and Arthur ""Spud"" Melin"
1959-01-01,Cuban Revolution,A successful armed revolt by Fidel Castro which overthrew the US-backed Cuban dictator Fulgencio Batista.
1959-05-31,The Barbie doll was invented,
1959-09-25,Khruschev-Eisenhower Summit,"There were no specific agreements or treaties, but both nations did resolve to reopen talks about Berlin and other issues related to cultural exchanges and trade.  A U-2 spy plane incident 1960 crushed any hopes for further improvement of U.S.-Soviet relations during the Eisenhower years."
1960-02-01,Sit-in protests begin,"Greensboro, NC lunch counter sit-in"
1960-05-01,U2 incident,A U-2 spy plane piloted by Francis Gary Powers was brought down in the Soviet Union
1960-11-05,John F. Kennedy elected President,"35th president of the United States, was assinated just before the end of his 1st term"
